code,name,market_id,category33_id,category17_id,scale_id
8648,バンク・オブ・アメリカ・コーポレーション,10,7050.0,15.0,
8685,アメリカン・インターナショナル・グループ・インク,10,7150.0,16.0,
8686,アフラック・インコーポレーテッド,10,7150.0,16.0,
8692,だいこう証券ビジネス,1,7100.0,16.0,7.0
8697,日本取引所グループ,1,7200.0,16.0,4.0
8698,マネックスグループ,1,7100.0,16.0,6.0
8699,澤田ホールディングス,3,7100.0,16.0,
8700,丸八証券,3,7100.0,16.0,
8703,カブドットコム証券,1,7100.0,16.0,6.0
8704,トレイダーズホールディングス,3,7100.0,16.0,
8705,岡藤ホールディングス,3,7100.0,16.0,
8706,極東証券,1,7100.0,16.0,6.0
8707,岩井コスモホールディングス,1,7100.0,16.0,6.0
8708,藍澤證券,1,7100.0,16.0,7.0
8709,インヴァスト証券,3,7100.0,16.0,
8710,シティグループ・インク,10,7050.0,15.0,
8713,フィデアホールディングス,1,7050.0,15.0,6.0
8714,池田泉州ホールディングス,1,7050.0,15.0,4.0
8715,アニコム　ホールディングス,1,7150.0,16.0,6.0
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,1,7150.0,16.0,2.0
8728,マネースクウェアＨＤ,1,7100.0,16.0,7.0
8729,ソニーフィナンシャルホールディングス,1,7150.0,16.0,4.0
8732,マネーパートナーズグループ,1,7100.0,16.0,7.0
8737,あかつきフィナンシャルグループ,6,7100.0,16.0,
8739,スパークス・グループ,3,7100.0,16.0,
8740,フジトミ,3,7100.0,16.0,
8742,小林洋行,1,7100.0,16.0,7.0
8746,第一商品,3,7100.0,16.0,
8747,豊商事,3,7100.0,16.0,
8750,第一生命保険,1,7150.0,16.0,2.0
8766,東京海上ホールディングス,1,7150.0,16.0,1.0
8769,アドバンテッジリスクマネジメント,3,7150.0,16.0,
8771,イー・ギャランティ,1,7200.0,16.0,7.0
8772,アサックス,1,7200.0,16.0,7.0
8783,ＧＦＡ,3,7200.0,16.0,
8787,ＵＣＳ,3,7200.0,16.0,
8789,フィンテック　グローバル,5,7200.0,16.0,
8793,ＮＥＣキャピタルソリューション,1,7200.0,16.0,7.0
8795,Ｔ＆Ｄホールディングス,1,7150.0,16.0,2.0
8798,アドバンスクリエイト,6,7150.0,16.0,
